Gene	SRR2072599	SRR2072600	SRR2072601	SRR2072602	SRR2072603	SRR2072604	SRR2072605	SRR2072606	SRR2072608	SRR2072609
ENSG00000100908	97.01319	97.631516	88.51643	61.63373	77.32259	71.448814	91.18421	66.43131	63.469864	92.35346
ENSG00000100911	776.5362	1415.1865	2193.62	1394.7471	1388.3054	1392.5792	2353.8372	1908.5122	2159.8118	2881.0625
ENSG00000100916	36.333755	31.826239	183.46974	38.20181	120.1119	61.961792	170.99196	201.57843	66.36996	177.78897
ENSG00000100918	805.3395	593.2029	1317.2174	852.33594	1107.1763	774.438	1461.576	792.5318	585.2503	870.0911
ENSG00000100926	203.20001	185.96074	225.09106	173.68759	296.4962	158.96674	175.63693	164.92578	149.23369	141.03506
ENSG00000100934	1155.7283	328.5323	539.70856	486.00934	637.84125	484.68832	404.43872	445.27576	318.69	310.52032
ENSG00000100938	436.59564	395.9644	796.79285	690.235	399.3235	443.51733	734.0046	667.13367	559.3646	843.95325
ENSG00000100941	2616.3591	3282.5864	1920.3616	2226.148	3192.9246	3639.9683	2179.1277	2483.56	3228.6738	1654.4991
ENSG00000100949	279.97867	577.6222	585.1905	412.4867	256.3091	548.692	543.31995	387.9607	716.1306	631.6613
ENSG00000100968	33.08328	0.9334112	0.0	0.0	78.77566	29.080938	0.0	0.0	35.129196	0.0
ENSG00000100979	54.999954	8.525938	60.73483	10.441931	62.22365	19.515987	41.507645	14.820265	20.476435	64.73508
ENSG00000100982	1178.5802	1091.4076	1141.6836	908.5138	1025.6072	956.0337	1201.1581	1157.6849	871.0798	719.66705
ENSG00000100983	191.13872	280.71286	263.80756	278.69305	240.3998	234.42242	363.81818	262.82755	280.718	330.48853
ENSG00000100985	0.0	6.556348	0.0	19.693714	0.0	6.9651213	1.0238848	29.858923	33.786747	0.9895196
ENSG00000100987	11.671306	0.0	0.99306834	0.0	0.99616206	4.6425323	0.0	0.8413112	1.0077006	0.0
ENSG00000100991	2935.941	2226.9512	2963.5872	2516.4426	3305.4844	2018.2029	3363.0312	2714.357	1939.3868	2359.4944
ENSG00000100994	633.82513	871.7069	1427.1659	757.14417	509.15256	751.7804	1280.8287	708.19836	860.81354	1395.9258
ENSG00000100997	400.49377	541.4115	634.00433	474.39722	407.81934	530.4624	577.998	346.20215	374.38608	425.81253
ENSG00000101000	7.347089	47.652573	10.956986	19.522783	7.195552	15.38569	9.3828945	7.997298	25.12949	12.768938
ENSG00000101003	21.601294	13.464627	14.418136	12.367703	16.67097	21.62389	17.64822	17.495869	11.2694	9.413337
ENSG00000101004	9.438233	10.429856	0.0	0.8982085	30.980373	17.477863	4.099786	6.6418104	0.40451655	7.83752
ENSG00000101017	20.82966	186.17944	57.02456	36.02877	17.650866	344.10037	52.008965	66.59642	319.83743	168.57996
ENSG00000101019	198.53532	163.83913	83.59624	96.874146	290.98776	187.69144	192.2098	86.46357	181.66983	129.26505
ENSG00000101040	268.20807	1108.3541	63.575745	533.67004	1086.8522	1097.6873	137.20325	537.3367	876.4536	136.97249
ENSG00000101049	9.887578	3.008692	1.7065384	0.0	10.082673	7.7436233	8.055688	1.1702306	2.0632486	1.383164
ENSG00000101052	175.02843	361.20383	166.90001	366.03574	124.133736	135.40627	294.96066	219.29514	276.95514	146.29033
ENSG00000101057	451.34454	23.773718	19.69557	0.99680245	587.1964	280.01755	81.3873	0.99743265	21.744963	6.987184
ENSG00000101074	0.0	0.0	0.0	0.0	0.0	0.0	1.0113689	0.0	0.0	0.0
ENSG00000101076	5.8172073	1.2410351	0.9455243	1.933537	3.9961677	1.8927113	3.7449243	2.4755793	1.8535542	4.838289
ENSG00000101079	139.85272	256.9227	364.98438	220.859	199.23387	266.77283	439.10233	244.37282	450.73535	490.65646
ENSG00000101082	1027.8218	16.33336	20.512983	6.036973	973.8889	14.839726	37.44216	3.330158	19.505173	9.662324
ENSG00000101084	1417.1868	933.04254	1341.1536	2318.44	1599.9879	1122.0521	1742.2965	2826.4653	1194.408	1336.1736
ENSG00000101096	116.30655	679.2117	38.153748	9.17081	166.55507	666.95856	33.742912	2.278557	717.5825	29.898792
ENSG00000101098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000101104	203.56927	194.02586	117.81127	114.21608	417.71762	392.24188	177.12161	177.30644	383.9423	139.28221
ENSG00000101109	6088.748	4356.291	2380.858	2312.729	4468.346	4031.7058	2686.9802	2646.379	3024.6301	1865.9467
ENSG00000101115	10.828105	4.9868007	4.2927365	9.417218	4.358803	22.001268	5.7718716	4.351625	14.603501	15.907939
ENSG00000101126	983.68555	1394.9363	1138.72	886.9107	1233.5731	1360.7252	1245.395	1007.84955	1228.7122	829.0066
ENSG00000101132	84.0871	215.74416	193.36627	119.074425	104.55376	203.1973	197.68817	149.61087	220.29037	137.11174
ENSG00000101134	0.0	0.0	0.0	0.0	0.0	0.0	0.9982791	0.0	0.0	0.0
ENSG00000101138	176.39874	160.63443	119.114685	92.280266	218.04219	183.16273	116.09943	93.506676	168.69626	85.17805
ENSG00000101144	0.5989273	0.6017323	0.0	0.60320944	1.875686	10.273519	0.0	0.6074816	1.8538646	0.0
ENSG00000101146	280.71454	489.98828	464.2068	510.85004	388.07993	636.2763	683.14264	558.88293	510.86307	358.21494
ENSG00000101150	706.25977	1084.9294	1828.5399	3155.7979	719.0162	996.2256	1550.4979	2915.7537	1318.1315	1368.303
ENSG00000101152	1368.1279	1738.6162	3208.449	3420.7754	1459.2174	1150.7683	2837.1733	3137.6772	1309.1805	1993.6837
ENSG00000101158	643.7497	804.2612	793.69556	581.7215	750.47736	1031.3181	951.78375	677.89514	1144.466	807.5438
ENSG00000101160	2572.89	6187.7085	6212.9	7429.5107	3329.309	5838.4756	7637.473	7960.6846	7058.9497	6153.344
ENSG00000101161	623.8731	687.74567	884.7354	732.7979	464.22546	526.5803	674.13916	666.95526	675.7269	737.1482
ENSG00000101162	30.827782	24.044418	10.914573	9.876181	37.558067	43.96191	11.994418	24.705587	22.032053	11.879179
ENSG00000101166	1003.0634	1086.1572	976.19775	494.41693	1011.2057	987.57434	1044.6115	699.5774	970.6633	764.74615
ENSG00000101180	0.0	0.98648167	0.9927048	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000101181	125.94211	155.11597	219.79001	124.21472	143.82034	107.920395	146.77179	112.602516	110.25321	186.28915
ENSG00000101182	921.3965	1144.533	1688.3461	1378.0914	820.2752	1118.957	1510.5149	1316.6122	1255.548	1476.3376
ENSG00000101187	0.0	74.85016	11.189497	13.757911	5.580823	34.204464	3.1868498	4.268747	97.300316	0.7317627
ENSG00000101188	1.2462147	5.775143	2.5235376	156.59497	0.0	2.5543268	1.2893058	23.957827	4.242751	1.2730901
ENSG00000101189	137.01688	429.9235	416.13474	361.62195	135.28726	414.14838	385.9745	358.4774	429.74	277.88593
ENSG00000101190	49.788788	128.1442	65.22078	63.746937	93.81745	177.44328	79.42441	88.29115	148.77164	69.75742
ENSG00000101191	1549.5536	967.82025	979.4172	606.8682	2094.6423	1138.252	1095.6019	692.93195	1173.2384	917.3215
ENSG00000101193	1279.2612	1444.5339	1394.0022	1044.5706	1225.4149	1635.742	1322.6171	1153.3527	1192.2708	1150.8003
ENSG00000101194	70.84297	456.3174	188.06993	237.46976	88.81046	817.7371	203.46138	356.58426	608.8294	172.86969
ENSG00000101197	0.0	1.9540809	0.0	0.0	0.69893676	0.0	150.22618	1.9948846	0.0	0.0
ENSG00000101198	0.0	0.0	0.0	0.0	0.0	0.0	16.970753	0.0	0.0	0.0
ENSG00000101199	1061.4032	827.56757	1598.06	1166.1387	1285.102	819.9508	1518.6177	1349.6516	830.58435	1318.3802
ENSG00000101200	0.0	1.9638122	0.0	0.0	0.0	0.0	0.0	0.0	1.0102	0.0
ENSG00000101203	1.9289696	0.62848973	0.0	0.0	5.818285	0.3381657	0.0	0.0	0.0	0.0
ENSG00000101204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000101210	3.7125547	68.02217	5.5708103	3.4933043	7.8543572	23.00158	24.61816	1.463804	49.711987	7.8443108
ENSG00000101213	30.779943	41.393467	30.075705	25.354237	44.09567	69.87709	42.89152	43.551346	63.550564	42.74159
ENSG00000101216	531.4136	784.7256	581.9626	599.3986	564.55176	866.4477	590.60394	683.8796	695.68774	443.43805
ENSG00000101220	97.656845	779.00336	1076.3663	660.9782	243.00847	929.3533	1918.5325	1077.9292	882.4784	1159.4637
ENSG00000101222	0.9705728	2.056192	4.2756233	1.0439168	1.0507443	0.0	0.0	1.0615592	3.4171412	1.0417993
