Gene	SRR3471108	SRR3471109	SRR3471110	SRR3471111	SRR3471112	SRR3471113	SRR3471114	SRR3471115	SRR3471116
ENSMUSG00000061461	464.66528	404.6003	346.56424	292.2493	300.42468	328.80066	484.0089	529.5041	484.43033
ENSMUSG00000061462	79.34432	79.11138	65.31442	18.035149	42.640835	60.158333	50.36762	44.45382	47.035202
ENSMUSG00000061469	48.05958	61.803413	31.013807	23.039837	33.417915	20.209198	37.147747	47.49585	38.486763
ENSMUSG00000061474	644.5847	638.1856	699.08527	576.1251	648.7958	606.0838	1056.4398	1087.8585	855.99567
ENSMUSG00000061477	23422.46	23810.545	19366.305	27967.896	29074.354	25531.5	50388.914	51167.574	42230.72
ENSMUSG00000061479	1703.577	1629.1241	1447.6398	2034.2448	2136.263	1749.8229	3143.4033	3220.7153	2838.4924
ENSMUSG00000061482	1567.4677	1512.6602	1305.0961	1321.1575	1250.5487	1116.3179	920.0393	914.6235	778.14636
ENSMUSG00000061489	19.855051	28.195719	14.1265335	16.74478	9.1598835	12.031717	32.98606	25.80384	24.12371
ENSMUSG00000061510	107.61694	127.72841	117.28006	108.36975	88.64954	95.06014	164.0312	145.9518	140.56448
ENSMUSG00000061517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000061518	10631.476	10431.668	9155.746	13686.022	14617.158	12102.622	12993.127	12986.018	10993.513
ENSMUSG00000061520	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97356415
ENSMUSG00000061524	0.0	0.0	0.0	0.0	0.0	0.0	0.97468394	0.0	0.0
ENSMUSG00000061525	1.5403732	1.2142409	3.1342752	5.5043435	6.926684	4.3453817	9.057668	1.5807859	4.627753
ENSMUSG00000061527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.963456	0.96797466
ENSMUSG00000061531	2.913256	2.5822759	4.926525	31.918701	56.78928	30.766207	90.044106	83.72556	81.21957
ENSMUSG00000061533	1783.4921	1964.5566	1845.2769	1606.5432	1744.3044	1300.2666	2025.167	2163.0764	1947.5868
ENSMUSG00000061535	0.6974732	0.0	1.3091564	2.0801103	0.0	0.67697656	5.045322	3.3639448	3.7643652
ENSMUSG00000061536	301.36176	361.92813	288.78616	107.11486	109.38344	74.86884	144.639	223.01701	126.17094
ENSMUSG00000061540	0.0	1.0546323	2.9770298	1.0150744	1.0215558	0.9782245	5.680297	4.8606477	1.8881056
